log_count, epoch, loss
0, 0, 0.021910577109365753
1, 0, 0.6808895929293199
2, 0, 5.23445372689854
0, 1, 0.028809800292506363
1, 1, 0.5939210851987203
2, 1, 0.6170433055270802
0, 2, 0.014930946357322462
1, 2, 41.02732300577742
2, 2, 4.351114735458836
0, 3, 0.014897671612826261
1, 3, 33.8649466976975
2, 3, 10.180443980477072
0, 4, 0.0261412804776972
1, 4, 596.3857317133384
2, 4, 0.5920610156926241
0, 5, 0.03043133562261408
1, 5, 158081.7862279596
2, 5, 234114.67213742662
0, 6, 0.03341763308553985
1, 6, 53.17508923284935
2, 6, 0.609448234240214
0, 7, 0.02487370100888339
1, 7, 0.621490043221098
2, 7, 0.5710222242456494
0, 8, 0.013113649505557436
1, 8, 0.6045015020803972
2, 8, 0.5664605263507727
0, 9, 0.010139421983198687
1, 9, 0.5796375184348135
2, 9, 0.5527482357892123
0, 10, 0.012000791051171043
1, 10, 0.5633836578239094
2, 10, 0.5174735215577212
0, 11, 0.010167118274804317
1, 11, 0.5783439630811865
2, 11, 0.5400437252088026
0, 12, 0.012045098073554762
1, 12, 0.5043260518348578
2, 12, 0.4844967479055578
0, 13, 0.010622494148485588
1, 13, 0.5155119010896394
2, 13, 0.4924287841175542
0, 14, 0.011481596664948896
1, 14, 0.5152395123785193
2, 14, 0.4926047460599379
0, 15, 0.010712191010966446
1, 15, 0.49746827736045374
2, 15, 0.47119417425357935
0, 16, 0.01034422263954625
1, 16, 0.43299233642491425
2, 16, 0.4671754448702841
0, 17, 0.009610631249167702
1, 17, 0.4234184740167676
2, 17, 0.4145624971751011
0, 18, 0.007357611349134734
1, 18, 0.381924724036997
2, 18, 0.38076314330101013
0, 19, 0.010096632169954704
1, 19, 0.37474212592298334
2, 19, 0.3485563442562566
0, 20, 0.007981971357807968
1, 20, 0.336043810302561
2, 20, 0.3273299372557438
0, 21, 0.008866606336651426
1, 21, 0.31993795570098993
2, 21, 0.3103626117561803
0, 22, 0.0082041115471811
1, 22, 0.30148915404623206
2, 22, 0.2823731601238251
0, 23, 0.010207454363505045
1, 23, 0.28098879257837933
2, 23, 0.2670189607324022
0, 24, 0.008452000039996523
1, 24, 0.2762824712377606
2, 24, 0.24394498088143088
0, 25, 0.008476121859116987
1, 25, 0.2518280351703817
2, 25, 0.2279654321345416
0, 26, 0.007816767150705511
1, 26, 0.25848330421881244
2, 26, 0.21899327500299973
0, 27, 0.007407437671314587
1, 27, 0.2345743811491764
2, 27, 0.197751906785098
0, 28, 0.008070952061450842
1, 28, 0.21529947311589212
2, 28, 0.19925766325358188
0, 29, 0.007701663356838804
1, 29, 0.21550183901281067
2, 29, 0.19056052962938944
0, 30, 0.008244812488555908
1, 30, 0.20781668614257465
2, 30, 0.18589969024513708
0, 31, 0.006448515888416406
1, 31, 0.19758784951585712
2, 31, 0.1804710075710759
0, 32, 0.007076157764955001
1, 32, 0.18638747885371698
2, 32, 0.17020429535345596
0, 33, 0.008128494024276733
1, 33, 0.17203964044650397
2, 33, 0.1674004260337714
0, 34, 0.006932713768698953
1, 34, 0.17734194434050357
2, 34, 0.16949127275835385
0, 35, 0.006512561530777903
1, 35, 0.17473091546333197
2, 35, 0.15600288727066733
0, 36, 0.007670469356305672
1, 36, 0.16556492921980945
2, 36, 0.14524226455074368
0, 37, 0.0074841176921671086
1, 37, 0.16244053118156665
2, 37, 0.1484061289917339
0, 38, 0.006397556626435482
1, 38, 0.1541382907466455
2, 38, 0.14584923490430368
0, 39, 0.006343338074106158
1, 39, 0.1499220159920779
2, 39, 0.14361268598021884
0, 40, 0.00894763975432425
1, 40, 0.15023875958991773
2, 40, 0.13624562548868585
0, 41, 0.006504168564623053
1, 41, 0.13670600047617248
2, 41, 0.1352842389182611
0, 42, 0.006385891726522735
1, 42, 0.13802987495155045
2, 42, 0.13422997137813858
0, 43, 0.006223673170263117
1, 43, 0.13501832792253204
2, 43, 0.12840600898771576
0, 44, 0.006172436204823581
1, 44, 0.13354070033087875
2, 44, 0.1337889369690057
0, 45, 0.006952723318880255
1, 45, 0.13570032742890445
2, 45, 0.1245146942409602
0, 46, 0.007297747062914299
1, 46, 0.13761458862008472
2, 46, 0.1277923292734406
0, 47, 0.007207027890465476
1, 47, 0.1338324709372087
2, 47, 0.12077016157634331
0, 48, 0.00709405496264949
1, 48, 0.12981822115905356
2, 48, 0.11984365614074649
0, 49, 0.006217388492642027
1, 49, 0.1265705715526234
2, 49, 0.12307778858777249
