image_name,detection_score,label,xmin,ymin,xmax,ymax
ama_2024-06-14_21_00_03.jpg,0.6635557413101196,not_moth,4420,1420,4611,1623
ama_2024-06-14_21_00_03.jpg,0.25453445315361023,moth,2,5672,525,6241
ama_2024-06-14_21_10_03_extra.jpg,0.748755931854248,moth,1260,5303,1705,5770
ama_2024-06-14_21_10_03_extra.jpg,0.2616328299045563,moth,1,5672,523,6238
ama_2024-06-14_21_20_03_extra.jpg,0.7579010725021362,moth,2763,4445,3047,5021
ama_2024-06-14_21_20_03_extra.jpg,0.7221988439559937,moth,5617,3426,6088,3771
ama_2024-06-14_21_20_03_extra.jpg,0.45263510942459106,not_moth,4958,6697,5466,6936
ama_2024-06-14_21_20_03_extra.jpg,0.2951710820198059,moth,7808,3788,7988,3944
ama_2024-06-14_21_20_03_extra.jpg,0.23967944085597992,moth,1,5669,529,6233
ama_2024-06-14_21_30_03.jpg,0.37651169300079346,not_moth,8274,3012,8441,3411
ama_2024-06-14_21_30_03.jpg,0.29399213194847107,moth,4,5721,527,6381
ama_2024-06-14_21_30_03.jpg,0.2767042815685272,not_moth,8199,2926,8508,3436
ama_2024-06-14_21_30_03.jpg,0.2586425244808197,moth,6,5721,428,6121
ama_2024-06-14_21_30_03.jpg,0.22026006877422333,not_moth,16,5732,9134,6929
ama_2024-06-14_21_30_03.jpg,0.20820793509483337,not_moth,8511,5778,9140,6927
ama_2024-06-14_21_40_03_extra.jpg,0.6881495118141174,not_moth,3062,519,3254,780
ama_2024-06-14_21_40_03_extra.jpg,0.25790342688560486,not_moth,3933,5144,4062,5311
ama_2024-06-14_21_40_03_extra.jpg,0.2391883134841919,moth,2,5672,524,6233
ama_2024-06-14_21_50_03_extra.jpg,0.6697123050689697,moth,2,4710,316,4997
ama_2024-06-14_21_50_03_extra.jpg,0.6465105414390564,not_moth,1738,3954,2065,4094
ama_2024-06-14_21_50_03_extra.jpg,0.5193915367126465,not_moth,5555,6710,6003,6937
ama_2024-06-14_21_50_03_extra.jpg,0.3334861397743225,moth,2,5672,558,6254
ama_2024-06-14_21_50_03_extra.jpg,0.28109171986579895,not_moth,1862,3750,1919,3841
ama_2024-06-14_21_50_03_extra.jpg,0.2746654748916626,not_moth,250,5902,593,6080
